userId,movieId,rating,timestamp
100,41,3.0,1000000000
17,122,4.0,1000000001
117,106,2.5,1000000002
27,57,3.0,1000000003
168,98,4.0,1000000004
53,138,5.0,1000000005
154,122,3.5,1000000006
130,54,4.0,1000000007
51,36,4.5,1000000008
29,149,4.5,1000000009
11,113,4.0,1000000010
54,98,3.0,1000000011
152,150,4.0,1000000012
33,36,3.5,1000000013
81,109,2.5,1000000014
154,73,2.0,1000000015
17,129,3.5,1000000016
171,104,3.5,1000000017
39,35,4.5,1000000018
108,102,4.0,1000000019
19,101,2.0,1000000020
49,17,5.0,1000000021
55,47,2.0,1000000022
80,83,4.0,1000000023
149,81,4.0,1000000024
118,25,5.0,1000000025
12,143,4.0,1000000026
109,26,1.5,1000000027
10,16,5.0,1000000028
151,26,4.0,1000000029
135,14,2.0,1000000030
7,137,2.5,1000000031
72,59,5.0,1000000032
82,116,4.5,1000000033
146,103,1.5,1000000034
159,108,2.0,1000000035
98,131,4.0,1000000036
168,108,4.0,1000000037
120,4,4.5,1000000038
153,141,4.0,1000000039
16,108,3.0,1000000040
55,34,1.0,1000000041
13,141,3.0,1000000042
96,123,5.0,1000000043
29,62,3.5,1000000044
185,16,4.5,1000000045
121,10,2.0,1000000046
103,84,4.0,1000000047
177,3,3.5,1000000048
120,68,4.0,1000000049
37,73,2.0,1000000050
121,88,2.0,1000000051
187,37,4.5,1000000052
171,124,3.5,1000000053
184,63,5.0,1000000054
11,62,4.0,1000000055
153,52,1.5,1000000056
72,148,4.5,1000000057
54,117,4.5,1000000058
110,74,1.5,1000000059
57,3,4.5,1000000060
5,5,4.0,1000000061
177,9,5.0,1000000062
122,61,3.0,1000000063
163,82,4.0,1000000064
3,13,3.0,1000000065
89,73,4.5,1000000066
101,98,3.5,1000000067
184,67,3.0,1000000068
29,137,1.5,1000000069
76,9,3.0,1000000070
25,5,4.0,1000000071
124,38,3.0,1000000072
133,90,3.5,1000000073
37,60,2.0,1000000074
28,81,1.5,1000000075
45,62,4.0,1000000076
186,67,3.0,1000000077
98,40,4.0,1000000078
33,6,3.5,1000000079
80,92,4.5,1000000080
59,48,4.0,1000000081
107,45,4.0,1000000082
170,100,4.0,1000000083
166,7,4.5,1000000084
45,58,3.5,1000000085
31,23,1.0,1000000086
160,107,3.0,1000000087
39,82,4.5,1000000088
77,12,1.0,1000000089
13,46,3.0,1000000090
17,104,3.0,1000000091
188,88,4.5,1000000092
70,74,3.5,1000000093
63,60,2.5,1000000094
37,22,5.0,1000000095
96,68,3.0,1000000096
17,12,1.5,1000000097
138,118,3.0,1000000098
120,50,5.0,1000000099
