movieId,title,genres
1,Toy Story (1995),Animation|Children|Comedy
2,Jumanji (1995),Adventure|Children|Fantasy
3,GoodFellas (1990),Crime|Drama
4,The Matrix (1999),Action|Sci-Fi|Thriller
5,Titanic (1997),Drama|Romance
6,Pulp Fiction (1994),Crime|Drama
7,The Shawshank Redemption (1994),Drama
8,Forrest Gump (1994),Comedy|Drama|Romance
9,The Silence of the Lambs (1991),Crime|Horror|Thriller
10,Schindler's List (1993),Drama|War
11,The Dark Knight (2008),Action|Crime|Drama|Thriller
12,Inception (2010),Action|Sci-Fi|Thriller
13,Fight Club (1999),Drama|Thriller
14,The Lord of the Rings (2001),Adventure|Fantasy
15,Star Wars (1977),Action|Adventure|Sci-Fi
16,Back to the Future (1985),Adventure|Comedy|Sci-Fi
17,Interstellar (2014),Sci-Fi|Drama
18,The Godfather (1972),Crime|Drama
19,Avengers: Endgame (2019),Action|Adventure|Sci-Fi
20,Parasite (2019),Comedy|Drama|Thriller
21,Amelie (2001),Comedy|Romance
22,Spirited Away (2001),Animation|Fantasy
23,Whiplash (2014),Drama|Music
24,La La Land (2016),Comedy|Drama|Music|Romance
25,Get Out (2017),Horror|Mystery|Thriller
26,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller
27,The Revenant (2015),Adventure|Drama|Thriller
28,Her (2013),Drama|Romance|Sci-Fi
29,Ex Machina (2014),Drama|Sci-Fi|Thriller
30,Moonlight (2016),Drama
31,Movie #31 (2001),Thriller|Romance
32,Movie #32 (2002),Mystery|Sci-Fi
33,Movie #33 (2003),War|Sci-Fi
34,Movie #34 (2004),Romance|Adventure
35,Movie #35 (2005),Action|Drama
36,Movie #36 (2006),Mystery|Romance
37,Movie #37 (2007),Crime|Animation
38,Movie #38 (2008),Thriller|Animation
39,Movie #39 (2009),Drama|Adventure
40,Movie #40 (2000),Thriller|Romance
41,Movie #41 (2001),Adventure|Sci-Fi
42,Movie #42 (2002),Sci-Fi|Adventure
43,Movie #43 (2003),Adventure|Mystery
44,Movie #44 (2004),Horror|Romance
45,Movie #45 (2005),Adventure|Animation
46,Movie #46 (2006),Thriller|Adventure
47,Movie #47 (2007),Animation|Crime
48,Movie #48 (2008),Romance|Drama
49,Movie #49 (2009),Mystery|Horror
50,Movie #50 (2000),Romance|Mystery
51,Movie #51 (2001),Thriller|Adventure
52,Movie #52 (2002),Drama|Adventure
53,Movie #53 (2003),Thriller|Crime
54,Movie #54 (2004),Thriller|Fantasy
55,Movie #55 (2005),Crime|Adventure
56,Movie #56 (2006),Crime|Adventure
57,Movie #57 (2007),Romance|Sci-Fi
58,Movie #58 (2008),Drama|Romance
59,Movie #59 (2009),Mystery|Comedy
60,Movie #60 (2000),Horror|Drama
61,Movie #61 (2001),Thriller|Adventure
62,Movie #62 (2002),Sci-Fi|Thriller
63,Movie #63 (2003),Action|Crime
64,Movie #64 (2004),Thriller|Comedy
65,Movie #65 (2005),Drama|War
66,Movie #66 (2006),Crime|Comedy
67,Movie #67 (2007),Mystery|Crime
68,Movie #68 (2008),War|Adventure
69,Movie #69 (2009),Drama|War
70,Movie #70 (2000),War|Comedy
71,Movie #71 (2001),Thriller|Adventure
72,Movie #72 (2002),Fantasy|Adventure
73,Movie #73 (2003),Drama|Horror
74,Movie #74 (2004),Thriller|Mystery
75,Movie #75 (2005),Drama|Sci-Fi
76,Movie #76 (2006),Fantasy|Mystery
77,Movie #77 (2007),Horror|Crime
78,Movie #78 (2008),Horror|Thriller
79,Movie #79 (2009),Animation|Thriller
80,Movie #80 (2000),Mystery|Sci-Fi
81,Movie #81 (2001),Romance|Adventure
82,Movie #82 (2002),Adventure|Fantasy
83,Movie #83 (2003),Adventure|Horror
84,Movie #84 (2004),War|Action
85,Movie #85 (2005),Horror|Sci-Fi
86,Movie #86 (2006),Crime|Thriller
87,Movie #87 (2007),Mystery|Thriller
88,Movie #88 (2008),Comedy|Horror
89,Movie #89 (2009),Drama|War
90,Movie #90 (2000),Animation|Fantasy
91,Movie #91 (2001),Sci-Fi|Mystery
92,Movie #92 (2002),Horror|Romance
93,Movie #93 (2003),Action|Animation
94,Movie #94 (2004),War|Fantasy
95,Movie #95 (2005),Romance|Horror
96,Movie #96 (2006),Comedy|Romance
97,Movie #97 (2007),Comedy|Horror
98,Movie #98 (2008),Comedy|Horror
99,Movie #99 (2009),Drama|Horror
100,Movie #100 (2000),Crime|Comedy
101,Movie #101 (2001),Animation|Romance
102,Movie #102 (2002),Action|Mystery
103,Movie #103 (2003),Crime|Thriller
104,Movie #104 (2004),Animation|Sci-Fi
105,Movie #105 (2005),Sci-Fi|War
106,Movie #106 (2006),Horror|Action
107,Movie #107 (2007),Fantasy|Animation
108,Movie #108 (2008),Adventure|Comedy
109,Movie #109 (2009),Mystery|Fantasy
110,Movie #110 (2000),Comedy|Thriller
111,Movie #111 (2001),Horror|Thriller
112,Movie #112 (2002),Horror|Thriller
113,Movie #113 (2003),Romance|Crime
114,Movie #114 (2004),Sci-Fi|Mystery
115,Movie #115 (2005),Action|Thriller
116,Movie #116 (2006),Action|Adventure
117,Movie #117 (2007),Crime|Romance
118,Movie #118 (2008),Mystery|Fantasy
119,Movie #119 (2009),Adventure|Horror
120,Movie #120 (2000),Thriller|Animation
121,Movie #121 (2001),Comedy|Romance
122,Movie #122 (2002),Drama|Fantasy
123,Movie #123 (2003),Adventure|Romance
124,Movie #124 (2004),Drama|Horror
125,Movie #125 (2005),War|Comedy
126,Movie #126 (2006),Crime|Action
127,Movie #127 (2007),Adventure|Animation
128,Movie #128 (2008),Sci-Fi|Romance
129,Movie #129 (2009),Romance|Adventure
130,Movie #130 (2000),Action|Horror
131,Movie #131 (2001),Crime|Action
132,Movie #132 (2002),Fantasy|Thriller
133,Movie #133 (2003),Comedy|Thriller
134,Movie #134 (2004),Mystery|Sci-Fi
135,Movie #135 (2005),War|Drama
136,Movie #136 (2006),Thriller|Action
137,Movie #137 (2007),Adventure|Romance
138,Movie #138 (2008),Animation|Mystery
139,Movie #139 (2009),Sci-Fi|Adventure
140,Movie #140 (2000),Sci-Fi|Fantasy
141,Movie #141 (2001),Horror|Mystery
142,Movie #142 (2002),Mystery|Horror
143,Movie #143 (2003),Comedy|Adventure
144,Movie #144 (2004),Fantasy|Crime
145,Movie #145 (2005),Thriller|Drama
146,Movie #146 (2006),Mystery|Drama
147,Movie #147 (2007),War|Romance
148,Movie #148 (2008),Mystery|Thriller
149,Movie #149 (2009),Comedy|Fantasy
150,Movie #150 (2000),War|Horror
